City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
Shahrud,1,IR,1578141393,56,36.42,54.97,38.7,7.29
Husavik,96,CA,1578141393,96,50.56,-96.99,26.01,1.81
Sioux Lookout,90,CA,1578141318,92,50.1,-91.92,21.2,4.7
Tuktoyaktuk,100,CA,1578141394,93,69.44,-133.03,-20.16,8.79
Oksfjord,75,NO,1578141394,92,70.24,22.35,26.6,40.26
Vaitape,100,PF,1578141394,78,-16.52,-151.75,81.03,10.78
East London,40,ZA,1578141394,88,-33.02,27.91,80.6,6.93
Iqaluit,90,CA,1578141394,84,63.75,-68.52,8.6,21.92
Solnechnyy,16,RU,1578141394,90,50.72,136.64,-11.25,1.59
Port Elizabeth,90,US,1578141394,93,39.31,-74.98,55.0,3.36
Bandarbeyla,90,SO,1578141394,77,9.49,50.81,78.33,13.27
Kabanjahe,40,ID,1578141394,88,3.1,98.49,80.6,2.24
Norman Wells,75,CA,1578141394,74,65.28,-126.83,-22.0,5.01
Ixtapa,40,MX,1578141394,93,20.71,-105.21,57.99,7.23
Narsaq,75,GL,1578141394,29,60.91,-46.05,33.8,5.82
Yellowknife,90,CA,1578141317,84,62.45,-114.38,0.0,5.82
Kushima,0,JP,1578141394,61,31.5,131.29,48.2,13.87
Upernavik,96,GL,1578141394,99,72.79,-56.15,-32.13,14.38
Acapulco,40,MX,1578141395,88,16.86,-99.88,73.4,3.36
Mbandaka,66,CD,1578141395,17,0.05,18.26,94.84,4.36
Camacha,40,PT,1578141395,68,33.08,-16.33,66.2,11.41
Kibala,2,TD,1578141395,23,9.11,18.35,84.2,6.93
Inuvik,5,CA,1578141395,67,68.36,-133.71,-23.8,2.24
Linda,1,US,1578141395,93,39.13,-121.55,51.8,6.93
Bull Savanna,92,JM,1578141395,85,17.89,-77.59,67.75,3.47
Umm Lajj,61,SA,1578141395,42,25.02,37.27,65.37,13.78
Tingi,85,TZ,1578141395,73,-11.3,35.03,80.6,1.63
Kapaa,75,US,1578141395,88,22.08,-159.32,73.99,19.46
Dubbo,17,AU,1578141395,17,-32.25,148.6,95.0,10.29
Isla Mujeres,40,MX,1578141395,94,21.23,-86.73,73.4,13.33
Binga,51,ZW,1578141395,64,-17.62,27.34,83.73,10.49
Bluff,0,AU,1578141395,64,-23.58,149.07,73.26,15.12
Port Alfred,75,ZA,1578141254,98,-33.59,26.89,72.0,1.01
Cabo San Lucas,0,MX,1578141396,78,22.89,-109.91,62.01,2.17
Port Lincoln,100,AU,1578141396,78,-34.72,135.86,59.45,17.87
Naze,56,NG,1578141396,25,5.43,7.07,84.2,9.17
Katherine,90,AU,1578141396,55,-14.47,132.26,86.0,12.75
Te Anau,100,NZ,1578141396,74,-45.41,167.72,47.14,7.45
Cascais,20,PT,1578141396,67,38.7,-9.42,61.0,8.05
Pacific Grove,90,US,1578141396,81,36.62,-121.92,53.01,6.93
Puerto Escondido,23,MX,1578141396,79,15.86,-97.07,68.7,3.36
Lorengau,100,PG,1578141396,74,-2.02,147.27,84.11,9.91
Oleksandrivka,14,UA,1578141396,66,48.97,32.24,38.91,10.09
Kodiak,1,US,1578141396,73,39.95,-94.76,30.2,11.41
Vicksburg,1,US,1578141311,87,32.35,-90.88,48.99,5.82
Omboue,99,GA,1578141396,65,-1.57,9.26,87.26,5.12
Artyom,0,RU,1578141396,71,43.36,132.19,3.2,2.24
Necochea,0,AR,1578141397,54,-38.55,-58.74,75.09,14.88
Porto Novo,40,BR,1578141397,73,-23.68,-45.44,71.6,1.39
Japura,97,ID,1578141397,94,-0.42,102.29,76.51,2.24
Pisco,75,PE,1578141397,30,-13.71,-76.2,71.6,4.7
Grand Gaube,75,MU,1578141214,83,-20.01,57.66,81.0,8.05
Busselton,0,AU,1578141397,34,-33.64,115.35,64.0,18.7
Gushikawa,90,JP,1578141397,88,26.35,127.87,66.2,5.82
Margate,75,AU,1578141397,61,-43.03,147.26,57.2,11.41
Fatehpur,0,PK,1578141397,31,31.18,71.21,62.47,6.06
Ibra,0,OM,1578141397,32,22.69,58.55,79.57,7.85
Georgetown,40,GY,1578141397,74,6.8,-58.16,80.6,6.93
Cockburn Town,47,TC,1578141397,80,21.46,-71.14,78.76,16.31
Kununurra,75,AU,1578141397,66,-15.77,128.74,86.0,8.05
Lagoa,0,PT,1578141397,62,37.14,-8.45,60.01,8.05
Odienne,17,CI,1578141398,9,9.51,-7.57,84.92,5.23
Ha Giang,58,VN,1578141398,99,22.83,104.99,59.32,3.6
Makaha,90,US,1578141398,100,21.47,-158.22,73.4,14.07
Lazaro Cardenas,5,MX,1578141398,85,28.39,-105.62,28.99,5.82
Thompson,90,CA,1578141398,83,55.74,-97.86,-4.0,2.24
Spassk,100,RU,1578141398,79,53.93,43.19,30.06,14.85
Lakhipur,9,IN,1578141398,84,26.03,90.3,60.94,2.71
Manaus,40,BR,1578141157,88,-3.13,-59.98,80.6,2.24
Ayr,55,AU,1578141398,78,-19.58,147.4,78.01,1.99
Setermoen,75,NO,1578141398,92,68.86,18.35,23.0,20.8
Terrasini,75,IT,1578141398,58,38.15,13.08,62.01,6.93
Derzhavinsk,100,KZ,1578141398,95,51.1,66.31,20.77,8.48
Souillac,20,FR,1578141398,76,45.6,-0.6,51.01,6.93
Marzuq,0,YE,1578141398,25,14.4,46.47,82.47,13.96
Charlestown,90,US,1578141398,100,41.38,-71.64,45.0,5.82
Phangnga,20,TH,1578141398,69,8.45,98.53,82.4,5.82
San Marcos,40,GT,1578141399,83,14.97,-91.79,77.0,5.03
Sao Joao da Barra,75,BR,1578141399,74,-21.64,-41.05,82.4,2.24
Balkhash,90,KZ,1578141399,92,46.84,74.98,23.0,6.71
Bredasdorp,10,ZA,1578141238,51,-34.53,20.04,80.6,11.41
Rocha,0,UY,1578141399,57,-34.48,-54.34,72.07,7.05
Saint-Philippe,90,CA,1578141399,92,45.36,-73.48,35.6,3.8
Pouembout,64,NC,1578141399,80,-21.12,164.9,70.18,3.76
Khandyga,2,RU,1578141399,97,62.65,135.58,-30.55,1.21
Benjamin Constant,100,BR,1578141147,94,-4.38,-70.03,77.0,0.85
Elizabeth City,90,US,1578141399,100,36.3,-76.22,60.8,4.7
Vila Franca do Campo,40,PT,1578141399,82,37.72,-25.43,64.4,11.41
Orkney,19,ZA,1578141399,23,-26.98,26.67,91.98,11.03
Likasi,100,CD,1578141399,80,-10.99,26.74,70.32,5.3
Nadym,97,RU,1578141399,94,65.53,72.51,13.24,14.5
Taltal,49,CL,1578141400,77,-25.41,-70.49,60.4,2.89
Russell,1,US,1578141400,85,38.9,-98.86,25.0,8.05
Fujieda,20,JP,1578141400,94,34.93,138.23,48.0,8.05
Saskylakh,94,RU,1578141400,97,71.97,114.09,-19.8,6.91
Chokurdakh,13,RU,1578141400,99,70.62,147.9,-18.15,2.15
Klaksvik,100,FO,1578141400,69,62.23,-6.59,35.6,14.99
Nioro,62,GM,1578141400,8,13.79,-15.05,83.03,15.21
San Borja,92,BO,1578141400,93,-14.86,-66.75,76.28,0.56
Petropavlovsk-Kamchatskiy,75,RU,1578141400,92,53.05,158.65,23.0,6.71
Carbonia,40,IT,1578141400,62,39.17,8.53,60.8,17.22
Namibe,90,AO,1578141400,94,-15.19,12.15,75.2,5.01
Nuevo Progreso,1,US,1578141400,81,26.05,-97.95,52.0,3.36
